year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af
2040,2015,LK_ShastaCVP,CVPR_Sacramento,2945708.601,0,0,0
2040,2015,R_AmericanMFRK,R_AmericanNFRK,2929725.042,0,0,0
2035,2015,LK_ShastaCVP,CVPR_Sacramento,2886498.282,0,0,0
2040,2015,R_AmericanNFRK,R_American,2877265.325,0,0,0
2040,2015,R_AmericanSFRK,R_American,2877265.325,0,0,0
2035,2015,R_AmericanMFRK,R_AmericanNFRK,2865102.577,0,0,0
2035,2015,R_AmericanNFRK,R_American,2816708.552,0,0,0
2035,2015,R_AmericanSFRK,R_American,2816708.552,0,0,0
2030,2015,LK_ShastaCVP,CVPR_Sacramento,2808819.28,0,0,0
2030,2015,R_AmericanMFRK,R_AmericanNFRK,2790717.177,0,0,0
2025,2015,LK_ShastaCVP,CVPR_Sacramento,2753525.876,0,0,0
2030,2015,R_AmericanNFRK,R_American,2745019.107,0,0,0
2030,2015,R_AmericanSFRK,R_American,2745019.107,0,0,0
2025,2015,R_AmericanMFRK,R_AmericanNFRK,2725026.005,0,0,0
2020,2015,LK_ShastaCVP,CVPR_Sacramento,2703150.641,0,0,0
2025,2015,R_AmericanNFRK,R_American,2682329.502,0,0,0
2025,2015,R_AmericanSFRK,R_American,2682329.502,0,0,0
2040,2015,CVPR_Sacramento,R_Sacramento,2665564.209,0,0,0
2040,2015,R_American,R_Sacramento,2665564.209,0,0,0
2040,2015,R_Feather,R_Sacramento,2665564.209,0,0,0
2020,2015,R_AmericanMFRK,R_AmericanNFRK,2662932.277,0,0,0
2020,2015,R_AmericanNFRK,R_American,2624910.434,0,0,0
2020,2015,R_AmericanSFRK,R_American,2624910.434,0,0,0
2035,2015,CVPR_Sacramento,R_Sacramento,2617111.775,0,0,0
2035,2015,R_American,R_Sacramento,2617111.775,0,0,0
2035,2015,R_Feather,R_Sacramento,2617111.775,0,0,0
2030,2015,CVPR_Sacramento,R_Sacramento,2554071.367,0,0,0
2030,2015,R_American,R_Sacramento,2554071.367,0,0,0
2030,2015,R_Feather,R_Sacramento,2554071.367,0,0,0
2025,2015,CVPR_Sacramento,R_Sacramento,2510944.408,0,0,0
2025,2015,R_American,R_Sacramento,2510944.408,0,0,0
2025,2015,R_Feather,R_Sacramento,2510944.408,0,0,0
2020,2015,CVPR_Sacramento,R_Sacramento,2466902.099,0,0,0
2020,2015,R_American,R_Sacramento,2466902.099,0,0,0
2020,2015,R_Feather,R_Sacramento,2466902.099,0,0,0
2015,2015,LK_ShastaCVP,CVPR_Sacramento,1492853.211,0,0,0
2040,2015,R_Sacramento,SFBayDelta,1490115.83,0,0,0
2035,2015,R_Sacramento,SFBayDelta,1459624.649,0,0,0
2015,2015,CRA_EglMtn,CRA_Hinds,1432261.281,195.8437982,0,0
2015,2015,CRA_GeneP,CRA_IronMtn,1432261.281,136.4153353,0,0
2015,2015,CRA_Hinds,SW_CRA_LkMthws,1432261.281,198.545092,0,0
2015,2015,CRA_IronMtn,CRA_EglMtn,1432261.281,64.83105045,0,0
2015,2015,CRA_Whitsett,CRA_GeneP,1432261.281,131.0127478,0,0
2015,2015,Lk_Havasu,CRA_Whitsett,1432261.281,0,0,0
2015,2015,R_COLORADO,Lk_Havasu,1432261.281,0,0,0
2030,2015,R_Sacramento,SFBayDelta,1417852.855,0,0,0
2015,2015,R_AmericanMFRK,R_AmericanNFRK,1417468.993,0,0,0
2015,2015,R_AmericanNFRK,R_American,1408044.477,0,0,0
2015,2015,R_AmericanSFRK,R_American,1408044.477,0,0,0
2025,2015,R_Sacramento,SFBayDelta,1389140.397,0,0,0
2020,2015,R_Sacramento,SFBayDelta,1364037.092,0,0,0
2035,2015,1807217WIMP,1807217WPD,1341852.059,0.092992927,10.25676298,0
2015,2015,CVPR_Sacramento,R_Sacramento,1333987.41,0,0,0
2015,2015,R_American,R_Sacramento,1333987.41,0,0,0
2015,2015,R_Feather,R_Sacramento,1333987.41,0,0,0
2025,2015,1807217WIMP,1807217WPD,1332511.951,0.115767237,11.86807245,0
2040,2015,1807217WIMP,1807217WPD,1328554.867,0.090430745,10.04665851,0
2020,2015,1807217WIMP,1807217WPD,1327555.011,0.134218826,13.46633621,0
2030,2015,1807217WIMP,1807217WPD,1327354.059,0.095695009,10.35136867,0
2040,2015,CRA_EglMtn,CRA_Hinds,1251346.66,121.6022557,0,0
2040,2015,CRA_GeneP,CRA_IronMtn,1251346.66,84.70226083,0,0
2040,2015,CRA_Hinds,SW_CRA_LkMthws,1251346.66,123.2795281,0,0
2040,2015,CRA_IronMtn,CRA_EglMtn,1251346.66,40.25453981,0,0
2040,2015,CRA_Whitsett,CRA_GeneP,1251346.66,81.34771585,0,0
2040,2015,Lk_Havasu,CRA_Whitsett,1251346.66,0,0,0
2040,2015,R_COLORADO,Lk_Havasu,1251346.66,0,0,0
2035,2015,CRA_EglMtn,CRA_Hinds,1232598.267,124.145308,0,0
2035,2015,CRA_GeneP,CRA_IronMtn,1232598.267,86.47362831,0,0
2035,2015,CRA_Hinds,SW_CRA_LkMthws,1232598.267,125.8576571,0,0
2035,2015,CRA_IronMtn,CRA_EglMtn,1232598.267,41.09637782,0,0
