year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,linkID,Ratio lo/med,med trans,med treatment,,lo,,hi,year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,HI linkID,ratio hi/med,med trans,med treatment,,Med,year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,medlinkID
2035,2010,1807246GW,1807145PD,11525.27462,-28,3,0,20351807246GW1807145PD,12.5,-28,26,,<----,,-->,2035,2010,1807246GW,1807145PD,11525.27462,-28,49,0,20351807246GW1807145PD,-10.5,-28,26,,,2035,2010,R_AmericanMFRK,R_AmericanNFRK,6665774.756,0,0,0,2035R_AmericanMFRKR_AmericanNFRK
2030,2010,1807246GW,1807145PD,11476.76323,-28,3,0,20301807246GW1807145PD,12.5,-28,26,,,,,2030,2010,1807246GW,1807145PD,11476.76323,-28,49,0,20301807246GW1807145PD,-10.5,-28,26,,,2030,2010,R_AmericanMFRK,R_AmericanNFRK,6588066.963,0,0,0,2030R_AmericanMFRKR_AmericanNFRK
2025,2010,1807246GW,1807145PD,11361.5757,-28,3,0,20251807246GW1807145PD,12.5,-28,26,,,,,2025,2010,1807246GW,1807145PD,11361.5757,-28,49,0,20251807246GW1807145PD,-10.5,-28,26,,,2035,2010,LK_ShastaCVP,CVPR_Sacramento,6531048.947,0,0,0,2035LK_ShastaCVPCVPR_Sacramento
2020,2010,1807246GW,1807145PD,11239.79076,-28,3,0,20201807246GW1807145PD,12.5,-28,26,,,,,2020,2010,1807246GW,1807145PD,11239.79076,-28,49,0,20201807246GW1807145PD,-10.5,-28,26,,,2025,2010,R_AmericanMFRK,R_AmericanNFRK,6512510.187,0,0,0,2025R_AmericanMFRKR_AmericanNFRK
2015,2010,1807246GW,1807145PD,10911.77293,-28,3,0,20151807246GW1807145PD,12.5,-28,26,,,,,2015,2010,1807246GW,1807145PD,10911.77293,-28,49,0,20151807246GW1807145PD,-10.5,-28,26,,,2030,2010,LK_ShastaCVP,CVPR_Sacramento,6459498.892,0,0,0,2030LK_ShastaCVPCVPR_Sacramento
2010,2010,1807246GW,1807145PD,9253.262249,-28,3,0,20101807246GW1807145PD,12.5,-28,26,,,,,2010,2010,1807246GW,1807145PD,9253.262249,-28,49,0,20101807246GW1807145PD,-10.5,-28,26,,,2035,2010,R_AmericanNFRK,R_American,6427427.227,0,0,0,2035R_AmericanNFRKR_American
2035,2010,1807246GW,1807133PD,5697.553917,-28,3,0,20351807246GW1807133PD,12.5,-28,26,,,,,2035,2010,1807246GW,1807133PD,5697.553917,-28,49,0,20351807246GW1807133PD,-10.5,-28,26,,,2035,2010,R_AmericanSFRK,R_American,6427427.227,0,0,0,2035R_AmericanSFRKR_American
2030,2010,1807246GW,1807133PD,5620.92,-28,3,0,20301807246GW1807133PD,12.5,-28,26,,,,,2030,2010,1807246GW,1807133PD,5620.92,-28,49,0,20301807246GW1807133PD,-10.5,-28,26,,,2020,2010,R_AmericanMFRK,R_AmericanNFRK,6411351.667,0,0,0,2020R_AmericanMFRKR_AmericanNFRK
2025,2010,1807246GW,1807133PD,5463.589483,-28,3,0,20251807246GW1807133PD,12.5,-28,26,,,,,2025,2010,1807246GW,1807133PD,5463.589483,-28,49,0,20251807246GW1807133PD,-10.5,-28,26,,,2025,2010,LK_ShastaCVP,CVPR_Sacramento,6388544.149,0,0,0,2025LK_ShastaCVPCVPR_Sacramento
2020,2010,1807246GW,1807133PD,5314.617673,-28,3,0,20201807246GW1807133PD,12.5,-28,26,,,,,2020,2010,1807246GW,1807133PD,5314.617673,-28,49,0,20201807246GW1807133PD,-10.5,-28,26,,,2015,2010,R_AmericanMFRK,R_AmericanNFRK,6360773.383,0,0,0,2015R_AmericanMFRKR_AmericanNFRK
