year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,,,,,,,,,
2035,2010,R_AmericanMFRK,R_AmericanNFRK,3941579.097,0,0,0,,2035R_AmericanMFRKR_AmericanNFRK,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,R_AmericanMFRK,R_AmericanNFRK,3887064.952,0,0,0,,2030R_AmericanMFRKR_AmericanNFRK,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,R_AmericanMFRK,R_AmericanNFRK,3823419.752,0,0,0,,2025R_AmericanMFRKR_AmericanNFRK,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,LK_ShastaCVP,CVPR_Sacramento,3806853.289,0,0,0,,2035LK_ShastaCVPCVPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,LK_ShastaCVP,CVPR_Sacramento,3758496.882,0,0,0,,2030LK_ShastaCVPCVPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,R_AmericanMFRK,R_AmericanNFRK,3747431.413,0,0,0,,2020R_AmericanMFRKR_AmericanNFRK,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,R_AmericanMFRK,R_AmericanNFRK,3704707.008,0,0,0,,2015R_AmericanMFRKR_AmericanNFRK,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,R_AmericanNFRK,R_American,3703231.568,0,0,0,,2035R_AmericanNFRKR_American,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,R_AmericanSFRK,R_American,3703231.568,0,0,0,,2035R_AmericanSFRKR_American,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,LK_ShastaCVP,CVPR_Sacramento,3699453.713,0,0,0,,2025LK_ShastaCVPCVPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,R_AmericanNFRK,R_American,3659091.642,0,0,0,,2030R_AmericanNFRKR_American,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,R_AmericanSFRK,R_American,3659091.642,0,0,0,,2030R_AmericanSFRKR_American,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,LK_ShastaCVP,CVPR_Sacramento,3629519.697,0,0,0,,2020LK_ShastaCVPCVPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,R_AmericanNFRK,R_American,3602622.743,0,0,0,,2025R_AmericanNFRKR_American,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,R_AmericanSFRK,R_American,3602622.743,0,0,0,,2025R_AmericanSFRKR_American,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,LK_ShastaCVP,CVPR_Sacramento,3574550.798,0,0,0,,2015LK_ShastaCVPCVPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,CVPR_Sacramento,R_Sacramento,3551775.249,0,0,0,,2035CVPR_SacramentoR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,R_American,R_Sacramento,3551775.249,0,0,0,,2035R_AmericanR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,R_Feather,R_Sacramento,3551775.249,0,0,0,,2035R_FeatherR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,R_AmericanNFRK,R_American,3534709.611,0,0,0,,2020R_AmericanNFRKR_American,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,R_AmericanSFRK,R_American,3534709.611,0,0,0,,2020R_AmericanSFRKR_American,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,CVPR_Sacramento,R_Sacramento,3508494.997,0,0,0,,2030CVPR_SacramentoR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,R_American,R_Sacramento,3508494.997,0,0,0,,2030R_AmericanR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,R_Feather,R_Sacramento,3508494.997,0,0,0,,2030R_FeatherR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,R_AmericanNFRK,R_American,3499484.42,0,0,0,,2015R_AmericanNFRKR_American,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,R_AmericanSFRK,R_American,3499484.42,0,0,0,,2015R_AmericanSFRKR_American,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,CVPR_Sacramento,R_Sacramento,3463316.583,0,0,0,,2025CVPR_SacramentoR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,R_American,R_Sacramento,3463316.583,0,0,0,,2025R_AmericanR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,R_Feather,R_Sacramento,3463316.583,0,0,0,,2025R_FeatherR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,R_AmericanMFRK,R_AmericanNFRK,3426544.9,0,0,0,,2010R_AmericanMFRKR_AmericanNFRK,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,CVPR_Sacramento,R_Sacramento,3406903.392,0,0,0,,2020CVPR_SacramentoR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,R_American,R_Sacramento,3406903.392,0,0,0,,2020R_AmericanR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,R_Feather,R_Sacramento,3406903.392,0,0,0,,2020R_FeatherR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,CVPR_Sacramento,R_Sacramento,3364845.302,0,0,0,,2015CVPR_SacramentoR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,R_American,R_Sacramento,3364845.302,0,0,0,,2015R_AmericanR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,R_Feather,R_Sacramento,3364845.302,0,0,0,,2015R_FeatherR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,LK_ShastaCVP,CVPR_Sacramento,3278055.194,0,0,0,,2010LK_ShastaCVPCVPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,R_AmericanNFRK,R_American,3198949.091,0,0,0,,2010R_AmericanNFRKR_American,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,R_AmericanSFRK,R_American,3198949.091,0,0,0,,2010R_AmericanSFRKR_American,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,CVPR_Sacramento,R_Sacramento,3114859.257,0,0,0,,2010CVPR_SacramentoR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,R_American,R_Sacramento,3114859.257,0,0,0,,2010R_AmericanR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,R_Feather,R_Sacramento,3114859.257,0,0,0,,2010R_FeatherR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
