year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af
2040,2015,LK_ShastaCVP,CVPR_Sacramento,3086788.312,0,0,0
2040,2015,R_AmericanMFRK,R_AmericanNFRK,3070804.752,0,0,0
2035,2015,LK_ShastaCVP,CVPR_Sacramento,3022200.472,0,0,0
2040,2015,R_AmericanNFRK,R_American,3018345.035,0,0,0
2040,2015,R_AmericanSFRK,R_American,3018345.035,0,0,0
2035,2015,R_AmericanMFRK,R_AmericanNFRK,3000804.766,0,0,0
2035,2015,R_AmericanNFRK,R_American,2952410.741,0,0,0
2035,2015,R_AmericanSFRK,R_American,2952410.741,0,0,0
2030,2015,LK_ShastaCVP,CVPR_Sacramento,2938483.492,0,0,0
2030,2015,R_AmericanMFRK,R_AmericanNFRK,2920381.389,0,0,0
2025,2015,LK_ShastaCVP,CVPR_Sacramento,2877310.446,0,0,0
2030,2015,R_AmericanNFRK,R_American,2874683.319,0,0,0
2030,2015,R_AmericanSFRK,R_American,2874683.319,0,0,0
2025,2015,R_AmericanMFRK,R_AmericanNFRK,2848810.575,0,0,0
2020,2015,LK_ShastaCVP,CVPR_Sacramento,2821843.456,0,0,0
2040,2015,CVPR_Sacramento,R_Sacramento,2806643.919,0,0,0
2040,2015,R_American,R_Sacramento,2806643.919,0,0,0
2040,2015,R_Feather,R_Sacramento,2806643.919,0,0,0
2025,2015,R_AmericanNFRK,R_American,2806114.072,0,0,0
2025,2015,R_AmericanSFRK,R_American,2806114.072,0,0,0
2020,2015,R_AmericanMFRK,R_AmericanNFRK,2781625.091,0,0,0
2035,2015,CVPR_Sacramento,R_Sacramento,2752813.965,0,0,0
2035,2015,R_American,R_Sacramento,2752813.965,0,0,0
2035,2015,R_Feather,R_Sacramento,2752813.965,0,0,0
2020,2015,R_AmericanNFRK,R_American,2743603.248,0,0,0
2020,2015,R_AmericanSFRK,R_American,2743603.248,0,0,0
2030,2015,CVPR_Sacramento,R_Sacramento,2683735.579,0,0,0
2030,2015,R_American,R_Sacramento,2683735.579,0,0,0
2030,2015,R_Feather,R_Sacramento,2683735.579,0,0,0
2025,2015,CVPR_Sacramento,R_Sacramento,2634728.978,0,0,0
2025,2015,R_American,R_Sacramento,2634728.978,0,0,0
2025,2015,R_Feather,R_Sacramento,2634728.978,0,0,0
2020,2015,CVPR_Sacramento,R_Sacramento,2585594.913,0,0,0
2020,2015,R_American,R_Sacramento,2585594.913,0,0,0
2020,2015,R_Feather,R_Sacramento,2585594.913,0,0,0
2040,2015,1807217WIMP,1807217WPD,2013796.812,0.990118448,224,0
2035,2015,1807217WIMP,1807217WPD,1975084.037,0.997314841,224,0
2030,2015,1807217WIMP,1807217WPD,1925875.23,1.016913925,224,0
2025,2015,1807217WIMP,1807217WPD,1882711.238,1.072996151,224,0
2020,2015,1807217WIMP,1807217WPD,1824675.437,1.096368797,224,0
2015,2015,1807217WIMP,1807217WPD,1803728,1.799712726,224,0
2040,2015,R_Sacramento,SFBayDelta,1631195.54,0,0,0
2035,2015,R_Sacramento,SFBayDelta,1595326.839,0,0,0
2015,2015,LK_ShastaCVP,CVPR_Sacramento,1548163.873,0,0,0
2030,2015,R_Sacramento,SFBayDelta,1547517.067,0,0,0
2025,2015,R_Sacramento,SFBayDelta,1512924.967,0,0,0
2020,2015,R_Sacramento,SFBayDelta,1482729.907,0,0,0
2015,2015,R_AmericanMFRK,R_AmericanNFRK,1482204.17,0,0,0
2015,2015,R_AmericanNFRK,R_American,1463355.139,0,0,0
2015,2015,R_AmericanSFRK,R_American,1463355.139,0,0,0
2015,2015,CRA_EglMtn,CRA_Hinds,1432261.281,532.5650558,0,0
2015,2015,CRA_GeneP,CRA_IronMtn,1432261.281,370.9591078,0,0
2015,2015,CRA_Hinds,SW_CRA_LkMthws,1432261.281,539.9107807,0,0
2015,2015,CRA_IronMtn,CRA_EglMtn,1432261.281,176.2973978,0,0
2015,2015,CRA_Whitsett,CRA_GeneP,1432261.281,356.267658,0,0
2015,2015,Lk_Havasu,CRA_Whitsett,1432261.281,0,0,0
2015,2015,R_COLORADO,Lk_Havasu,1432261.281,0,0,0
2015,2015,CVPR_Sacramento,R_Sacramento,1389298.072,0,0,0
2015,2015,R_American,R_Sacramento,1389298.072,0,0,0
2015,2015,R_Feather,R_Sacramento,1389298.072,0,0,0
2040,2015,CRA_EglMtn,CRA_Hinds,1251346.66,532.5650558,0,0
2040,2015,CRA_GeneP,CRA_IronMtn,1251346.66,370.9591078,0,0
2040,2015,CRA_Hinds,SW_CRA_LkMthws,1251346.66,539.9107807,0,0
2040,2015,CRA_IronMtn,CRA_EglMtn,1251346.66,176.2973978,0,0
2040,2015,CRA_Whitsett,CRA_GeneP,1251346.66,356.267658,0,0
2040,2015,Lk_Havasu,CRA_Whitsett,1251346.66,0,0,0
2040,2015,R_COLORADO,Lk_Havasu,1251346.66,0,0,0
2035,2015,CRA_EglMtn,CRA_Hinds,1232598.267,532.5650558,0,0
2035,2015,CRA_GeneP,CRA_IronMtn,1232598.267,370.9591078,0,0
2035,2015,CRA_Hinds,SW_CRA_LkMthws,1232598.267,539.9107807,0,0
2035,2015,CRA_IronMtn,CRA_EglMtn,1232598.267,176.2973978,0,0
2035,2015,CRA_Whitsett,CRA_GeneP,1232598.267,356.267658,0,0
2035,2015,Lk_Havasu,CRA_Whitsett,1232598.267,0,0,0
2035,2015,R_COLORADO,Lk_Havasu,1232598.267,0,0,0
2030,2015,CRA_EglMtn,CRA_Hinds,1210498.342,532.5650558,0,0
2030,2015,CRA_GeneP,CRA_IronMtn,1210498.342,370.9591078,0,0
2030,2015,CRA_Hinds,SW_CRA_LkMthws,1210498.342,539.9107807,0,0
2030,2015,CRA_IronMtn,CRA_EglMtn,1210498.342,176.2973978,0,0
2030,2015,CRA_Whitsett,CRA_GeneP,1210498.342,356.267658,0,0
2030,2015,Lk_Havasu,CRA_Whitsett,1210498.342,0,0,0
2030,2015,R_COLORADO,Lk_Havasu,1210498.342,0,0,0
2025,2015,CRA_EglMtn,CRA_Hinds,1191264.99,532.5650558,0,0
2025,2015,CRA_GeneP,CRA_IronMtn,1191264.99,370.9591078,0,0
2025,2015,CRA_Hinds,SW_CRA_LkMthws,1191264.99,539.9107807,0,0
2025,2015,CRA_IronMtn,CRA_EglMtn,1191264.99,176.2973978,0,0
2025,2015,CRA_Whitsett,CRA_GeneP,1191264.99,356.267658,0,0
2025,2015,Lk_Havasu,CRA_Whitsett,1191264.99,0,0,0
2025,2015,R_COLORADO,Lk_Havasu,1191264.99,0,0,0
2040,2015,Lk_OrovilleSWP,SW1802SWP01,1176524.896,0,0,0
2015,2015,SW_CRA_LkMthws,1807217WIMP,1172414.903,0,0,0
2040,2015,R_Feather,SWPR_Feather,1172234.591,0,0,0
2040,2015,SWPR_Feather,SWPR_Sacramento,1172234.591,0,0,0
2040,2015,R_Sacramento,SWPR_Sacramento,1172234.591,0,0,0
2040,2015,SWPR_Sacramento,SWP_SFBayDelta,1172234.591,0,0,0
2040,2015,SFBayDelta,SWP_SFBayDelta,1172234.591,0,0,0
2040,2015,SW1802SWP01,SW1802SWP02,1172234.591,0,0,0
2040,2015,SW1802SWP02,SWPR_Feather,1172234.591,0,0,0
2035,2015,Lk_OrovilleSWP,SW1802SWP01,1158810.815,0,0,0
2020,2015,CRA_EglMtn,CRA_Hinds,1157574.806,532.5650558,0,0
2020,2015,CRA_GeneP,CRA_IronMtn,1157574.806,370.9591078,0,0
2020,2015,CRA_Hinds,SW_CRA_LkMthws,1157574.806,539.9107807,0,0
2020,2015,CRA_IronMtn,CRA_EglMtn,1157574.806,176.2973978,0,0
2020,2015,CRA_Whitsett,CRA_GeneP,1157574.806,356.267658,0,0
2020,2015,Lk_Havasu,CRA_Whitsett,1157574.806,0,0,0
2020,2015,R_COLORADO,Lk_Havasu,1157574.806,0,0,0
2035,2015,R_Feather,SWPR_Feather,1154578.819,0,0,0
2035,2015,SWPR_Feather,SWPR_Sacramento,1154578.819,0,0,0
2035,2015,R_Sacramento,SWPR_Sacramento,1154578.819,0,0,0
2035,2015,SWPR_Sacramento,SWP_SFBayDelta,1154578.819,0,0,0
2035,2015,SFBayDelta,SWP_SFBayDelta,1154578.819,0,0,0
2035,2015,SW1802SWP01,SW1802SWP02,1154578.819,0,0,0
2035,2015,SW1802SWP02,SWPR_Feather,1154578.819,0,0,0
2030,2015,Lk_OrovilleSWP,SW1802SWP01,1137531.937,0,0,0
2030,2015,R_Feather,SWPR_Feather,1133355.18,0,0,0
2030,2015,SWPR_Feather,SWPR_Sacramento,1133355.18,0,0,0
2030,2015,R_Sacramento,SWPR_Sacramento,1133355.18,0,0,0
2030,2015,SWPR_Sacramento,SWP_SFBayDelta,1133355.18,0,0,0
2030,2015,SFBayDelta,SWP_SFBayDelta,1133355.18,0,0,0
2030,2015,SW1802SWP01,SW1802SWP02,1133355.18,0,0,0
2030,2015,SW1802SWP02,SWPR_Feather,1133355.18,0,0,0
2025,2015,Lk_OrovilleSWP,SW1802SWP01,1123263.961,0,0,0
2025,2015,R_Feather,SWPR_Feather,1119145.514,0,0,0
2025,2015,SWPR_Feather,SWPR_Sacramento,1119145.514,0,0,0
2025,2015,R_Sacramento,SWPR_Sacramento,1119145.514,0,0,0
2025,2015,SWPR_Sacramento,SWP_SFBayDelta,1119145.514,0,0,0
2025,2015,SFBayDelta,SWP_SFBayDelta,1119145.514,0,0,0
2025,2015,SW1802SWP01,SW1802SWP02,1119145.514,0,0,0
2025,2015,SW1802SWP02,SWPR_Feather,1119145.514,0,0,0
2020,2015,Lk_OrovilleSWP,SW1802SWP01,1104562.552,0,0,0
2020,2015,R_Feather,SWPR_Feather,1100557.653,0,0,0
2020,2015,SWPR_Feather,SWPR_Sacramento,1100557.653,0,0,0
2020,2015,R_Sacramento,SWPR_Sacramento,1100557.653,0,0,0
2020,2015,SWPR_Sacramento,SWP_SFBayDelta,1100557.653,0,0,0
2020,2015,SFBayDelta,SWP_SFBayDelta,1100557.653,0,0,0
2020,2015,SW1802SWP01,SW1802SWP02,1100557.653,0,0,0
2020,2015,SW1802SWP02,SWPR_Feather,1100557.653,0,0,0
2040,2015,SW_CRA_LkMthws,1807217WIMP,1091220.099,0,0,0
2040,2015,SWP_SFBayDelta,SW1804SWP06,1085871.284,0,0,0
2035,2015,SW_CRA_LkMthws,1807217WIMP,1073048.75,0,0,0
2035,2015,SWP_SFBayDelta,SW1804SWP06,1067989.211,0,0,0
